Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
1,2.2895,0.1196,2.1699,23.07522488,17.93924522,-4.3533206,22.0920931,17.48626328,-1.04419911,0.32425863,0.2798261
2,1.9159,0.0488,1.8672,18.02266453,14.17971611,2.33025908,17.61630143,13.76567173,2.36657357,0.40155566,0.37706841
3,1.6827,0.0358,1.6469,15.54490703,12.10377121,1.54582918,15.95388634,12.40873528,1.77941895,0.47642197,0.46110492
4,1.5038,0.0309,1.4729,14.69364171,11.52413464,1.53569138,14.50087814,11.33098221,1.23776901,0.53670394,0.52603816
5,1.3736,0.0266,1.347,14.51597137,11.54294586,-1.88130105,14.53149099,11.4787159,-1.83239186,0.57705396,0.57358963
6,1.2844,0.0255,1.2589,13.34434747,10.44817257,0.93628871,14.04712973,11.18289661,-0.60380328,0.61886242,0.61522407
7,1.1694,0.0242,1.1452,12.63962848,10.00921154,-4.72717094,13.44821974,10.63123512,-3.03439713,0.66942149,0.66375125
8,1.0628,0.021,1.0418,10.8674771,8.59698009,0.88770789,10.93020474,8.55526257,0.04111132,0.70977151,0.70807458
9,1.0367,0.0197,1.017,10.93539531,8.64748287,2.42468691,11.23844282,8.87076855,0.38072097,0.73262032,0.73197396
10,0.9849,0.0196,0.9653,12.77583717,10.09836674,1.55297649,12.10017607,9.5422039,-0.51672113,0.75984443,0.75812928
11,0.9675,0.0216,0.9459,11.09940437,8.78089809,0.63728964,11.40427062,9.04358196,-1.46430993,0.76033058,0.75950072
12,0.8628,0.0188,0.844,11.16152581,8.91644287,-3.14304686,10.55498639,8.40570736,-2.19350553,0.76908119,0.76336546
13,0.8083,0.0181,0.7903,10.05326505,7.87528515,-1.62730432,10.25500627,8.12104034,-0.51028043,0.79241614,0.78913942
14,0.8138,0.0168,0.797,9.36521055,7.37457085,-0.55026627,10.0413999,7.84724474,-1.08893585,0.82352941,0.82133362
15,0.7511,0.0175,0.7336,10.59567882,8.29358196,3.32628298,10.64064687,8.50185394,1.69081736,0.84637822,0.84722275
16,0.6911,0.0164,0.6747,10.15797987,8.03312016,-1.04759026,9.61437521,7.56230068,-0.44065434,0.85464268,0.85544655
17,0.6698,0.0144,0.6554,9.24755291,7.26901054,1.14551675,9.61765118,7.49038315,2.20223141,0.85707341,0.85773265
18,0.7115,0.0158,0.6957,10.38615975,8.24777317,-1.2481606,11.01939001,8.75623226,-1.80347788,0.85853184,0.8584738
19,0.7149,0.0178,0.6972,9.67798093,7.6686492,-0.01265085,10.49899869,8.38008022,0.67428046,0.8765192,0.87639403
20,0.7003,0.0164,0.6839,10.21331363,7.8355155,1.90593123,10.33877121,8.05609703,1.61929572,0.85415654,0.85423817
21,0.624,0.0147,0.6093,9.52450413,7.47831726,0.41387129,10.03495782,7.92340612,1.60654354,0.89013126,0.88974962
22,0.5934,0.0125,0.5809,9.60703017,7.60219193,1.26920784,9.69307425,7.59092855,0.70392454,0.89693729,0.89752568
