Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
42,1.6616,0.0352,1.6264,16.79893247,13.04659367,-1.81877589,17.41627835,13.70316219,-3.01736116,0.41857073,0.4148539
43,1.6284,0.0347,1.5938,16.07416417,12.30180454,0.9262352,16.10403949,12.30662727,0.1033955,0.43218279,0.42269976
44,1.6211,0.0341,1.5869,17.06001728,13.21765137,-1.45216668,16.43050105,12.84830379,-1.39441216,0.4409334,0.43688415
45,1.5928,0.0339,1.5589,16.50239222,12.76614094,-2.79794788,16.23216043,12.49258614,-2.01923537,0.44385027,0.44030994
46,1.6049,0.0334,1.5715,16.93433218,13.18088245,-3.73479128,16.59934452,12.95565605,-1.08038604,0.45357316,0.44448588
47,1.5669,0.0322,1.5346,16.09828421,12.45705891,-1.90591586,15.99147331,12.12309933,-2.02237988,0.46378221,0.45832025
48,1.5668,0.0316,1.5352,15.77999782,12.00828362,-1.6558907,15.95608502,12.16336918,1.72910702,0.45892076,0.44471954
49,1.5856,0.033,1.5526,15.91546088,12.12967682,-0.99449289,16.06078427,12.25901985,0.05930196,0.46864366,0.46472285
50,1.5141,0.0305,1.4836,15.92948155,12.29542828,1.88852489,15.87460255,12.29057598,1.93602729,0.47447739,0.47470664
51,1.5398,0.0309,1.5104,15.45334085,12.0006645,-0.675054131,15.37922615,12.14748755,0.037215092,0.474384107,0.466732809
52,1.5303,0.031,1.5066,15.2484262,11.91086667,-0.609945137,15.20808175,12.14570418,0.106156523,0.478304984,0.478687985
53,1.5302,0.0311,1.5114,15.1939827,11.95128549,-0.53064954,15.16069896,12.21804213,0.137346004,0.490223883,0.489572122
54,1.5244,0.0312,1.5012,15.0578368,11.79488221,-0.529780613,15.08115547,12.16937829,0.208490178,0.505219227,0.480826384
55,1.5167,0.0311,1.4931,14.90122353,11.69676055,-0.539044171,14.9632427,12.125416,0.224910692,0.506635996,0.488482141
56,1.5074,0.0307,1.4809,14.8244611,11.56958755,-0.638049381,14.83597581,11.96023979,0.207247763,0.503129293,0.506220468
57,1.5012,0.0306,1.4752,14.72596848,11.50777467,-0.633048365,14.74939983,11.91977205,0.237015877,0.499128497,0.496576271
58,1.4956,0.0305,1.47,14.63794569,11.45254322,-0.634778347,14.6699443,11.88438456,0.258512604,0.524539021,0.515503776
59,1.4878,0.0304,1.463,14.51729506,11.3801666,-0.646785135,14.56327289,11.83251012,0.273353972,0.528158792,0.520546309
60,1.4811,0.0302,1.4567,14.41497651,11.31627393,-0.661945252,14.47070736,11.78640524,0.281809775,0.525673067,0.524236294
61,1.4747,0.03,1.4509,14.32133436,11.25757843,-0.676817288,14.38516594,11.74394884,0.288924807,0.515074612,0.526013586
62,1.4693,0.0299,1.4459,14.2366222,11.20519437,-0.682982247,14.31082167,11.70888935,0.303442423,0.526397172,0.521435624
63,1.464,0.0298,1.441,14.15575214,11.15508223,-0.691132843,14.23983795,11.67509801,0.314852976,0.538626801,0.535262693
64,1.4588,0.0297,1.4361,14.0758467,11.10590645,-0.700494052,14.17003532,11.64133437,0.324448741,0.527504657,0.529664806
65,1.4541,0.0296,1.4318,14.00494704,11.06228101,-0.709015198,14.1076731,11.61168143,0.333087594,0.543374984,0.532973564
66,1.4498,0.0296,1.4278,13.93923414,11.02222132,-0.716408389,14.05006011,11.58460268,0.341798846,0.530524457,0.538996384
67,1.4458,0.0295,1.4241,13.8777139,10.98524638,-0.722646446,13.99651116,11.55966654,0.3507273,0.548984104,0.535260543
68,1.442,0.0294,1.4206,13.82066451,10.95106738,-0.728843268,13.94684015,11.53655044,0.358584776,0.552640561,0.550997572
69,1.4386,0.0294,1.4174,13.76782481,10.91957289,-0.734669353,13.90087272,11.51520615,0.365798846,0.544587656,0.542679565
70,1.4354,0.0293,1.4145,13.71980843,10.89108153,-0.739850303,13.8590858,11.49596762,0.372583979,0.552009683,0.553659886
71,1.4325,0.0293,1.4118,13.67545068,10.86493994,-0.744495952,13.8205857,11.47831,0.379041945,0.557538054,0.550987298
72,1.4298,0.0292,1.4093,13.63455575,10.84098819,-0.748705637,13.78516892,11.46210722,0.385094879,0.543319361,0.545210586
73,1.4274,0.0292,1.407,13.59714405,10.81915658,-0.752579823,13.75277054,11.44732445,0.390640328,0.565126116,0.558741952
74,1.4252,0.0291,1.4049,13.56293102,10.79927489,-0.756081209,13.72316173,11.43385954,0.395788259,0.567291059,0.544389073
75,1.4231,0.0291,1.403,13.53171147,10.7812085,-0.759215982,13.6961609,11.42162568,0.400583751,0.564449052,0.54508496
76,1.4212,0.0291,1.4013,13.5031176,10.76473327,-0.762041119,13.67146525,11.41045733,0.405042514,0.552398779,0.549913997
77,1.4195,0.0291,1.3997,13.47701127,10.74974722,-0.76458886,13.64893301,11.40028573,0.409164547,0.553226949,0.54590527
78,1.418,0.029,1.3982,13.45324009,10.73614396,-0.766883757,13.62842126,11.39104826,0.412961462,0.560964017,0.549135866
79,1.4166,0.029,1.3969,13.43158567,10.72379143,-0.768943242,13.60974661,11.38265608,0.416470142,0.558459886,0.567601299
80,1.4153,0.029,1.3957,13.41186688,10.71257656,-0.770789244,13.59274872,11.3750302,0.419709029,0.572894336,0.565713731
81,1.4141,0.029,1.3946,13.39390813,10.70239232,-0.772446315,13.57727768,11.36809817,0.422693831,0.5727537,0.561760435
82,1.413,0.029,1.3936,13.37757744,10.69315443,-0.773933013,13.56321453,11.36180558,0.425438211,0.558933337,0.571133879
83,1.412,0.0289,1.3927,13.36273689,10.68477916,-0.77526583,13.5504374,11.3560961,0.427961291,0.567877471,0.568490379
84,1.4112,0.0289,1.3919,13.3492492,10.6771836,-0.776459574,13.53882847,11.35091582,0.430279465,0.572413925,0.568929405
85,1.4104,0.0289,1.3911,13.33699177,10.67029586,-0.777529801,13.52828212,11.34621398,0.432407759,0.558723649,0.561210437
86,1.4096,0.0289,1.3905,13.32585944,10.66405265,-0.778488133,13.51870634,11.3419494,0.434359834,0.558908126,0.571241377
87,1.409,0.0289,1.3898,13.31575198,10.65839381,-0.779346751,13.51001405,11.33808042,0.436148666,0.567950795,0.566312288
88,1.4084,0.0289,1.3893,13.30657678,10.6532645,-0.78011634,13.50212363,11.33457278,0.437787234,0.57769887,0.573681234
89,1.4078,0.0289,1.3888,13.29824744,10.64861621,-0.780805897,13.49496316,11.33139147,0.439287149,0.569240831,0.559613631
90,1.4073,0.0289,1.3883,13.29068903,10.64440344,-0.781424042,13.48846526,11.32850639,0.440659339,0.562083193,0.554151854
91,1.4069,0.0289,1.3879,13.28382982,10.64058558,-0.781978461,13.48257046,11.32588996,0.441914049,0.565175982,0.565507125
92,1.4065,0.0289,1.3875,13.27760617,10.63712602,-0.782474964,13.47722176,11.32351787,0.443060841,0.578470818,0.562255151
93,1.4061,0.0289,1.3872,13.27196104,10.63399048,-0.782920673,13.4723701,11.32136706,0.444108596,0.572774432,0.559355413
94,1.4058,0.0289,1.3868,13.26683867,10.63114914,-0.783321399,13.46796912,11.31941747,0.445064826,0.572206704,0.561766195
95,1.4055,0.0289,1.3866,13.26219136,10.62857449,-0.783679766,13.46397653,11.31764952,0.445937044,0.573755785,0.554857038
96,1.4052,0.0288,1.3863,13.25797742,10.62624002,-0.784002146,13.46035593,11.31604575,0.446733446,0.571081243,0.556500776
97,1.4049,0.0288,1.3861,13.25415298,10.62412502,-0.784292101,13.45707023,11.31459275,0.447460181,0.578766313,0.56044836
98,1.4047,0.0288,1.3859,13.25068528,10.62220765,-0.784552442,13.45409027,11.31327566,0.448122029,0.57885474,0.57249834
99,1.4045,0.0288,1.3857,13.2475394,10.62046958,-0.784786168,13.45138844,11.31207982,0.448725819,0.571209068,0.56054431
100,1.4043,0.0288,1.3855,13.24468512,10.61889364,-0.784996652,13.44893717,11.31099675,0.449274968,0.570149573,0.566166178
