Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1
48,0.3653,0.009,0.3564,7.51625563,5.84105539,-0.9058491,7.82867564,6.10026836,-1.29725838,0.94846864,0.9487047
49,0.3613,0.0089,0.3524,7.67556183,5.95565271,0.63495135,8.25255938,6.45602226,-0.5455507,0.94555177,0.94564732
50,0.3713,0.0094,0.3619,7.81000815,6.07422829,0.0274149,7.99446296,6.21171618,-0.29157674,0.94020418,0.94059817
51,0.2906,0.0082,0.2824,7.19022537,5.54110765,-0.65052295,7.26018834,5.6627512,-0.30473363,0.94214876,0.94217644
52,0.3407,0.0082,0.3325,7.7981186,5.99331522,-0.56899828,7.91834091,6.13811159,-0.38980815,0.94263491,0.94296715
53,0.3442,0.0081,0.3361,6.73643119,5.2352581,-0.57866514,7.57178224,5.84503365,-1.36916316,0.95138551,0.95169352
54,0.3063,0.0081,0.2982,7.20698891,5.56850863,0.78481567,7.24474407,5.57636929,0.49096045,0.94603792,0.94626207
55,0.3059,0.0078,0.2981,7.02699171,5.43907452,-1.35192621,7.27425772,5.57933569,-0.8669818,0.95138551,0.95123035
56,0.2994,0.0089,0.2905,7.49426457,5.92999125,-2.32555747,7.93120295,6.20553589,-2.8044126,0.94749635,0.94782618
57,0.3121,0.0089,0.3032,7.48813912,5.87203169,0.18520574,7.87841626,6.25973034,-0.49541885,0.95187166,0.95177296
58,0.3057,0.0079,0.2979,7.05090406,5.40126848,0.11322661,7.3598586,5.66034079,0.64391595,0.94701021,0.94705155
59,0.3257,0.0079,0.3177,6.69989007,5.17766047,0.97729439,7.09995513,5.53236532,1.46816182,0.95138551,0.95152834
60,0.305,0.0081,0.2969,6.88850713,5.19539881,-1.25692165,7.28276498,5.58417988,-1.2003119,0.94701021,0.94768785
61,0.2981,0.008,0.29,7.09918677,5.53652954,0.7923401,7.12602012,5.50717068,0.89700013,0.95430238,0.95421895
62,0.2522,0.0073,0.2449,6.51378168,4.98382711,-0.04779986,6.89592983,5.31208038,0.55697924,0.95576082,0.95564177
63,0.2814,0.0079,0.2736,6.93212105,5.46614265,-1.0274086,7.20461405,5.64025831,-1.17241263,0.95089937,0.95083263
64,0.3045,0.0079,0.2967,7.04375678,5.54655504,-2.64933705,7.4564634,5.8375268,-2.28775454,0.95187166,0.95179249
65,0.3026,0.0074,0.2951,6.61278401,4.96767998,0.65372622,6.8043231,5.15934134,-0.00010035,0.95138551,0.95138528
66,0.2752,0.007,0.2681,6.43759066,4.9111433,-0.67591083,6.5167973,4.99459267,-0.44444585,0.94992708,0.94961744
67,0.2672,0.0072,0.2601,6.87476584,5.33896923,-1.89873469,6.87135579,5.23749018,-1.19268453,0.95478853,0.95514472
68,0.2478,0.0068,0.2409,6.97700484,5.37452078,2.04927111,7.15738346,5.44174337,2.07693624,0.95576082,0.95615944
69,0.2798,0.0074,0.2724,6.38526838,4.82954025,0.45768932,6.54591993,4.98638248,-0.41966307,0.9523578,0.9522654
70,0.2794,0.0072,0.2722,6.46885998,5.00781536,-0.50109512,6.86499572,5.28339911,-0.676961,0.95187166,0.95183863
71,0.286,0.0072,0.2788,6.77696775,5.20861387,0.89762282,6.98535914,5.4071579,0.60868949,0.94895479,0.94912689
72,0.2558,0.007,0.2488,6.21753224,4.80748177,0.9207108,6.62351628,5.12626839,0.87664217,0.95527467,0.95502305
73,0.2128,0.0062,0.2066,7.11291443,5.47627401,-2.51931095,7.32524368,5.5763855,-2.29835987,0.95478853,0.9546731
74,0.2745,0.0071,0.2674,6.44696682,4.87600565,0.75601476,6.603736,5.03255415,0.65990037,0.95041322,0.95011596
75,0.2727,0.007,0.2656,6.29771217,4.74162483,-0.1288076,6.53725847,4.93324041,-0.1151669,0.95916383,0.95933233
76,0.2573,0.0071,0.2502,5.70738918,4.32492256,-0.47153959,6.4102595,4.94529724,-1.42863786,0.9577054,0.9578998
77,0.2589,0.0066,0.2523,6.54734637,4.97741795,0.36031574,6.78982185,5.12107801,-0.43356407,0.95187166,0.95203581
78,0.2286,0.0061,0.2225,6.14079739,4.6794138,-1.20711291,6.48627578,4.95520449,-1.2542423,0.96013612,0.96011938
79,0.2441,0.0066,0.2375,6.4665615,5.00647688,-1.60998905,6.38045493,4.94821692,-1.28146839,0.95478853,0.95473739
80,0.2729,0.0066,0.2663,5.93268623,4.51652193,0.85543489,6.38614533,4.86440277,-1.09819365,0.95819154,0.9581021
81,0.2599,0.0071,0.2527,6.15552869,4.62810135,-0.03638165,6.25631273,4.73643732,-0.15157054,0.95381624,0.95362616
82,0.2657,0.0062,0.2595,6.14160428,4.69163656,0.22974807,6.09933982,4.64690256,0.14829168,0.96062227,0.96064676
83,0.2378,0.0065,0.2313,5.96885354,4.50948524,0.68594152,6.63436573,5.06466007,0.71821058,0.95721925,0.95700387
84,0.2423,0.007,0.2354,6.39923665,4.91904306,-2.05856442,6.61261787,5.16012669,-2.3759253,0.95527467,0.95550781
85,0.2031,0.0065,0.1966,6.21375906,4.80122805,-1.23097014,6.27401727,4.85567951,-1.08971059,0.95381624,0.9538107
86,0.2393,0.0063,0.2331,6.46134754,4.97531462,-0.40882599,6.02555871,4.61203051,0.64813399,0.95916383,0.959735
87,0.2268,0.0061,0.2207,6.15675158,4.74815035,0.10415564,6.22343322,4.76538801,0.2901015,0.95284395,0.95258948
88,0.2243,0.0056,0.2187,6.02858031,4.63546705,-1.18486965,6.14752974,4.72841787,-0.58421022,0.95527467,0.95562392
89,0.2083,0.0059,0.2023,5.8960907,4.45461416,0.94321686,6.43914981,4.87989759,-0.45376143,0.96110841,0.96096197
90,0.2199,0.006,0.2139,6.0101417,4.55024862,-0.49720263,6.1111418,4.64498663,-0.11337888,0.95527467,0.95520699
