Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
mobilenetv2_100,14,0.44828646,0.008274,0.44001246,7.73840474,6.08615589,-2.11984515,7.80455969,6.14063597,-1.54813588,0.90325717,0.90396583,377.1
mobilenetv2_100,15,0.46993378,0.00972557,0.46020821,8.09395785,6.11766148,0.32882771,8.09527833,6.08874607,0.7887851,0.91638308,0.91613223,381.5
mobilenetv2_100,16,0.44369515,0.00950401,0.43419114,7.99158106,6.08791542,2.41171932,8.41341869,6.31388998,2.50673652,0.92561983,0.92533056,384.8
mobilenetv2_100,17,0.39558231,0.00795673,0.38762558,7.20144018,5.50188017,-0.21633732,7.27236147,5.57343531,-0.46026292,0.93631502,0.93694976,385.4
mobilenetv2_100,18,0.39995344,0.00716145,0.39279199,7.55773195,5.81737089,-0.45192823,7.61443535,5.85328436,-0.88386452,0.93339815,0.93395842,383.7
mobilenetv2_100,19,0.37732178,0.00727201,0.37004977,7.37975094,5.56740141,1.57375205,7.76669679,5.70510769,2.28281689,0.93291201,0.93305159,385.4
mobilenetv2_100,20,0.37088073,0.00684534,0.36403538,10.85609775,8.3318758,5.75326729,10.81513689,8.3668642,5.96793652,0.93048128,0.93045437,384.4
mobilenetv2_100,21,0.3694687,0.0072732,0.3621955,7.62306239,5.74073315,2.93160748,7.55712447,5.70884323,2.54990339,0.93582888,0.93611324,384.1
mobilenetv2_100,22,0.34664837,0.00645145,0.34019692,8.40258618,6.50549841,4.19872093,8.22845744,6.35971451,3.87123847,0.94457948,0.94430412,383.7
mobilenetv2_100,23,0.32987707,0.00709603,0.32278104,8.07256499,6.13358593,1.91163313,8.3413997,6.25350666,2.17353034,0.94846864,0.94856295,385.9
mobilenetv2_100,24,0.28608407,0.00594246,0.28014161,6.27594408,4.70345068,0.31479642,6.42362711,4.85302305,0.35270885,0.9523578,0.95296186,388.6
mobilenetv2_100,25,0.30253484,0.00569061,0.29684423,7.7527301,5.89396048,3.91359997,8.4039199,6.41811275,4.5093317,0.94749635,0.94746672,384.3
mobilenetv2_100,26,0.287517,0.00629528,0.28122172,6.42867289,4.87946939,0.64470875,6.72921293,5.18212795,1.22385979,0.9523578,0.95265691,378.8
mobilenetv2_100,27,0.28271603,0.00612267,0.27659337,7.50567057,5.68735981,3.01727748,7.85928642,6.02460337,3.03336358,0.9479825,0.94823618,403.0
mobilenetv2_100,28,0.26915952,0.00557342,0.2635861,6.83107249,5.25921774,0.50649601,7.17764456,5.60147619,0.60721916,0.93777346,0.93804136,390.3
mobilenetv2_100,29,0.25658722,0.00544964,0.25113757,5.94487489,4.41350126,0.70244473,6.2444302,4.75152159,1.08501077,0.95430238,0.95475924,384.2
mobilenetv2_100,30,0.25965655,0.00499387,0.25466268,7.15110467,5.48882723,2.19485116,7.22619958,5.58451939,2.09009385,0.95333009,0.95414682,391.0
mobilenetv2_100,1,2.15993544,0.06134891,2.09858652,15.00105536,11.88263226,1.68219507,14.99122974,11.88635826,0.45517978,0.47982499,0.45301437,399.3
mobilenetv2_100,2,1.55179387,0.02800952,1.52378436,14.40184685,11.56515884,6.33691549,14.07838946,11.17361832,4.94984198,0.59358289,0.58119544,397.3
mobilenetv2_100,3,1.25507454,0.0224031,1.23267144,13.00976196,9.92615318,1.34824586,12.5779679,9.72174644,-0.12238399,0.66212931,0.65906281,393.8
mobilenetv2_100,4,1.0608618,0.01925229,1.04160952,12.83654018,9.05864334,3.84349084,11.86704606,8.65924835,1.94042933,0.74769081,0.74404095,395.1
mobilenetv2_100,5,0.982384,0.01757501,0.96480898,10.08289502,7.74144888,0.61518186,9.66449433,7.58335781,-0.53306019,0.79387457,0.79477686,391.5
mobilenetv2_100,6,0.86924452,0.01530295,0.85394157,11.60449708,8.47742653,0.73217142,11.45336681,8.37773705,0.8077479,0.77831794,0.77671099,430.3
mobilenetv2_100,7,0.79748146,0.01506811,0.78241335,9.49296832,7.23158026,-0.30617151,9.45680738,7.28588629,0.63720924,0.84346135,0.84397715,397.9
mobilenetv2_100,8,0.72375925,0.01207651,0.71168274,9.33771721,6.91390753,-0.09587941,9.37229657,7.03559399,0.94667655,0.84686437,0.84624697,396.4
mobilenetv2_100,9,0.67489495,0.01166304,0.66323191,9.17777199,7.24511957,-1.64345765,8.96432162,6.99977303,-1.52290452,0.84880895,0.84951769,406.7
mobilenetv2_100,10,0.60212533,0.01070794,0.59141738,9.11931527,7.05691433,2.16652799,9.03228353,7.01412153,1.89100671,0.87943607,0.8790173,386.9
mobilenetv2_100,11,0.60229011,0.01056983,0.59172028,11.07724275,8.44586658,5.09537363,10.72728192,8.27106571,4.83059454,0.91784152,0.91844555,386.4
mobilenetv2_100,12,0.4999495,0.00941067,0.49053883,8.89631607,6.78875303,2.60251307,8.82449888,6.82051897,2.67405558,0.90714633,0.90816059,389.9
mobilenetv2_100,13,0.51352797,0.00905205,0.50447592,8.50499309,6.4010725,2.32248402,9.2642391,6.93222046,3.7266171,0.9144385,0.91474381,390.5
mobilenetv2_100,14,0.51763272,0.00912841,0.50850432,8.65705906,6.51792336,1.93334532,8.573223,6.4518342,0.90352744,0.91589694,0.9162189,391.4
mobilenetv2_100,15,0.50094036,0.00965277,0.49128759,8.49278986,6.61788559,2.06102014,7.98360241,6.11114836,1.08530557,0.9003403,0.90179834,391.6
mobilenetv2_100,16,0.4274331,0.0078882,0.4195449,7.67374163,5.78159189,0.03963802,7.79453452,5.85210323,-0.66303837,0.92707827,0.9273627,392.2
mobilenetv2_100,17,0.40863319,0.00777673,0.40085647,8.36224259,6.36082411,0.20727794,8.42444465,6.39908504,0.47902471,0.9338843,0.93436867,391.6
mobilenetv2_100,18,0.36698801,0.00699303,0.35999498,8.26830965,6.26535034,1.79663837,8.09673428,6.13970995,1.66926491,0.92561983,0.92646764,393.4
mobilenetv2_100,19,0.36932698,0.00713534,0.36219164,7.93474982,6.04453373,-0.8469066,8.22220252,6.29512739,-0.69732261,0.94117647,0.94187705,392.6
mobilenetv2_100,20,0.37764965,0.00767329,0.36997636,8.597142,6.40898323,2.98126864,8.35011946,6.17856884,2.47301745,0.93096743,0.93076483,387.7
mobilenetv2_100,21,0.33822736,0.00648683,0.33174053,6.87783755,5.25742579,0.01770635,6.87891401,5.27091551,-1.66381824,0.9338843,0.93389209,391.0
mobilenetv2_100,22,0.34571155,0.00660987,0.33910168,7.78714073,5.92826128,1.5449928,7.799519,5.97097158,0.84532106,0.92513369,0.92508207,388.5
mobilenetv2_100,23,0.32743818,0.00688333,0.32055485,7.61901671,5.65867138,1.8575747,7.87814632,5.87664938,2.2919538,0.94846864,0.9486453,395.7
mobilenetv2_100,24,0.33663221,0.00676894,0.32986326,8.0378557,6.0529108,1.94787335,7.90739222,5.89058399,2.01113391,0.9382596,0.93920366,391.8
mobilenetv2_100,25,0.2840759,0.00623207,0.27784383,8.11538832,6.11000967,3.69372392,8.54781268,6.50659418,4.0060339,0.93874575,0.93916164,390.8
mobilenetv2_100,26,0.28478581,0.00563449,0.27915132,7.22638513,5.1878829,0.9863596,7.1731549,5.18617201,0.14588313,0.93534273,0.93566405,429.5
mobilenetv2_100,27,0.28883972,0.0067237,0.28211602,6.95236401,5.06773949,0.64394289,6.9875219,5.14391279,0.95469761,0.94652406,0.94652155,390.3
mobilenetv2_100,28,0.29260825,0.00582692,0.28678133,7.1793703,5.50508928,1.32647622,7.52629287,5.77280331,1.55041909,0.95187166,0.95243427,389.0
mobilenetv2_100,29,0.28463609,0.0057735,0.27886259,7.99335681,5.78648329,2.83419132,8.8917817,6.52125454,3.86380649,0.94895479,0.94930956,392.8
mobilenetv2_100,30,0.26564497,0.00591304,0.25973193,6.38138664,4.74693298,2.2302804,6.55827006,4.86094189,2.19606733,0.95527467,0.95532956,392.8
mobilenetv2_100,31,0.25324363,0.00521955,0.24802408,6.93661851,5.35313702,2.76734734,7.06481086,5.47150564,2.75449634,0.95187166,0.95224085,389.5
mobilenetv2_100,32,0.24420833,0.00497346,0.23923488,7.03735521,5.36670732,2.68296289,7.76722403,5.99258614,3.70398545,0.94944093,0.94965891,388.8
mobilenetv2_100,33,0.24242482,0.00550125,0.23692357,6.95599704,4.96574211,1.82855022,6.87622559,4.86117172,1.28238857,0.94846864,0.94915012,388.8
mobilenetv2_100,34,0.25272095,0.00495324,0.24776771,7.13678476,5.52858639,2.9717021,7.26939219,5.65095043,3.52413511,0.94944093,0.94951145,387.4
mobilenetv2_100,35,0.21561356,0.00448052,0.21113304,5.84381201,4.42015553,0.81005347,6.01257088,4.60125113,0.68199092,0.94360719,0.94365882,388.5
mobilenetv2_100,36,0.23244701,0.00477642,0.22767059,5.57297344,4.20458794,-0.14313203,5.82825525,4.45247841,-0.07056532,0.95187166,0.95258896,389.1
mobilenetv2_100,37,0.24583245,0.00487539,0.24095707,5.74418446,4.23719931,0.07435054,5.72340479,4.32651854,-0.11007464,0.95819154,0.95813613,388.8
mobilenetv2_100,38,0.19737279,0.00401881,0.19335398,5.79760968,4.35748005,1.04538214,5.80853037,4.43575764,0.69385928,0.9577054,0.95847907,398.1
mobilenetv2_100,39,0.21944901,0.00459247,0.21485654,5.40413788,3.98955274,0.26022935,5.60192444,4.22641134,-0.49092174,0.95624696,0.95637691,399.8
mobilenetv2_100,40,0.19847237,0.00438133,0.19409104,6.16582662,4.67105436,-1.69957316,6.10835589,4.63426924,-1.40963006,0.95284395,0.95293639,396.6
mobilenetv2_100,41,0.21493868,0.00466516,0.21027351,5.94583701,4.28606796,0.97270477,5.95447883,4.28129101,0.65666527,0.95089937,0.95107272,398.2
mobilenetv2_100,42,0.20969003,0.00453787,0.20515216,5.54314407,4.21979713,-1.67579162,5.95828208,4.64956856,-2.56810689,0.95576082,0.95571607,395.4
mobilenetv2_100,43,0.20366741,0.00416143,0.19950598,5.8391219,4.31346893,1.52263224,5.97914122,4.46106863,1.77630568,0.95867769,0.95874169,395.8
mobilenetv2_100,44,0.20859129,0.00425461,0.20433669,6.41148141,4.86850834,2.35249639,6.24563293,4.73470831,1.67341816,0.95964998,0.95994134,397.3
mobilenetv2_100,45,0.18560397,0.00431417,0.1812898,5.04263572,3.74343491,-0.85514688,5.22457798,3.95385695,-0.61544663,0.95964998,0.95990501,397.2
mobilenetv2_100,46,0.18505346,0.00425902,0.18079445,5.26398966,3.92562938,-0.5284403,5.50335695,4.15018082,-1.05451846,0.95673311,0.95713298,396.1
mobilenetv2_100,47,0.16010733,0.00413913,0.15596821,5.44079595,3.99088764,1.41373706,6.18167549,4.67148113,2.16262102,0.95867769,0.95892327,396.6
mobilenetv2_100,48,0.18637224,0.00406111,0.18231113,5.74911559,4.23750877,1.63791108,5.72099285,4.21777964,1.60619318,0.95430238,0.95458249,394.1
mobilenetv2_100,49,0.17439114,0.00406879,0.17032235,6.87734779,5.14331198,3.80009174,7.02122848,5.23782063,3.59581494,0.95916383,0.95980197,391.5
mobilenetv2_100,50,0.22270173,0.00551779,0.21718394,6.54535725,5.0138483,2.47738862,6.89585377,5.33389473,3.24445391,0.95673311,0.95714833,393.6
