Model,Epoch,Total_Loss,Regression_Loss,Classification_Loss,SM_0_RMSE,SM_0_MAE,SM_0_ME,SM_20_RMSE,SM_20_MAE,SM_20_ME,Classification_Accuracy,Classification_F1,Time_s
mobilevitv2_050,38,0.40729663,0.00470837,0.40258826,5.39275002,4.09686422,0.0316591,5.47872834,4.18229103,0.154902,0.93339815,0.93401158,367.9
mobilevitv2_050,39,0.41921199,0.00521107,0.41400092,5.71390683,4.29122066,1.6195507,5.89673603,4.46194696,1.93084669,0.92659212,0.92700829,368.0
mobilevitv2_050,40,0.39650577,0.00499387,0.3915119,5.52386689,4.16156769,0.43733153,5.574448,4.21058702,0.45699495,0.91784152,0.91856186,371.1
mobilevitv2_050,41,0.42764443,0.00509125,0.42255319,6.15519124,4.76902294,1.77095389,6.03591407,4.62467384,1.56617057,0.92124453,0.92243446,370.6
mobilevitv2_050,42,0.40295951,0.00515371,0.3978058,5.2587119,3.97826529,-0.05403222,5.31426111,3.99803638,0.16068512,0.94117647,0.94207753,372.8
mobilevitv2_050,43,0.37849344,0.00461181,0.37388164,6.04186489,4.70229053,2.50145245,6.07137161,4.70766258,2.19150066,0.93923189,0.93917543,372.5
mobilevitv2_050,44,0.3751077,0.00494734,0.37016036,5.49835042,4.0741663,1.04550719,5.55702866,4.16967201,0.77229923,0.91929995,0.91932413,376.8
mobilevitv2_050,45,0.40157378,0.00527459,0.3962992,5.6146163,4.3472867,0.76965922,5.66438442,4.38043547,0.60887378,0.94555177,0.94598926,371.8
mobilevitv2_050,46,0.39279409,0.00541379,0.38738031,5.81435143,4.51994133,-0.24380802,6.0049777,4.67155886,0.14843217,0.94701021,0.94773488,372.7
mobilevitv2_050,47,0.36255622,0.00468294,0.35787328,6.26089535,4.75445795,1.82123148,6.54252127,5.02993965,2.15889311,0.91541079,0.9157449,369.7
mobilevitv2_050,48,0.36036161,0.00466793,0.35569368,5.73491049,4.34320402,2.19238615,5.94809653,4.52328062,2.46860123,0.94603792,0.94658358,370.9
mobilevitv2_050,49,0.36228927,0.00485793,0.35743134,5.19315407,3.90716386,0.45643339,5.22378699,3.95125914,0.18194146,0.94409334,0.94475644,372.8
mobilevitv2_050,50,0.33693379,0.00423793,0.33269586,5.54682531,4.22688675,0.72140068,5.53642557,4.21607256,0.5519675,0.93728731,0.93793612,371.9
mobilevit_s,1,2.31722492,0.15870729,2.15851763,14.3372264,11.3393631,0.5448668,14.14942805,11.25875473,0.41464567,0.45017015,0.41786536,470.7
mobilevit_s,2,1.64243233,0.02302615,1.61940618,10.24551331,8.06309414,-0.04931331,10.57754474,8.41316414,-0.31203738,0.62469616,0.62019928,457.1
mobilevit_s,3,1.28568777,0.01672533,1.26896244,8.20829961,6.30303526,1.40244818,8.89045723,6.95694017,2.06275487,0.73164803,0.72789089,460.8
mobilevit_s,4,1.04638279,0.01170672,1.03467607,7.99791786,6.2301755,1.77234817,8.66286659,6.58198261,2.4040885,0.76665046,0.76915777,460.3
mobilevit_s,5,0.97236997,0.01108279,0.96128718,8.29200501,6.31038952,2.31086063,8.19084507,6.27115965,2.13490987,0.76567817,0.7652437,461.8
mobilevit_s,6,0.86427838,0.01053225,0.85374613,7.9409266,5.89326382,1.16050661,7.77527827,5.92146873,1.65537214,0.73748177,0.73269621,461.1
mobilevit_s,7,0.79732885,0.01003596,0.78729289,7.4451798,5.70394182,0.2283726,7.44354848,5.76106453,0.6148932,0.83325231,0.8336016,462.6
mobilevit_s,8,0.74336147,0.00825643,0.73510505,6.74822749,5.24622345,1.8162452,6.72052319,5.21748972,1.22725701,0.86582402,0.86786851,465.7
mobilevit_s,9,0.62495248,0.00776,0.61719248,6.58344697,5.01345062,0.675883,6.54935265,5.03929567,0.57389349,0.87360233,0.87359695,463.7
mobilevit_s,10,0.61599608,0.00745439,0.60854169,6.40034443,4.91642952,1.59854519,6.72238983,5.16827536,1.66372848,0.86193486,0.86422541,460.0
mobilevit_s,11,0.56876066,0.00712433,0.56163632,6.90183417,5.2910533,1.18875825,7.21555089,5.58615875,1.63427234,0.87408848,0.87477522,462.9
mobilevit_s,12,0.55869492,0.00623944,0.55245548,6.70408215,5.03428841,-0.21264297,6.92630889,5.30673885,-0.14266492,0.88332523,0.88440271,460.9
mobilevit_s,13,0.5303427,0.00682696,0.52351574,6.17774333,4.71204233,0.9935984,6.52617832,5.03879929,1.45111465,0.91249392,0.9139482,461.8
mobilevit_s,14,0.4898639,0.00642711,0.48343679,6.13669855,4.66623974,0.73175949,6.49441112,4.9562993,0.60420477,0.90325717,0.90461034,463.5
mobilevit_s,15,0.45342643,0.00614814,0.4472783,6.14075825,4.68205214,0.69494289,6.39357818,4.88747931,0.94976401,0.91686923,0.91824001,464.6
mobilevit_s,16,0.42684853,0.00552487,0.42132366,6.46973032,4.94297504,1.478387,6.56851705,4.95894051,1.11300385,0.91929995,0.92053324,462.8
mobilevit_s,17,0.40283538,0.0056469,0.39718849,6.15953573,4.72825384,0.31067529,6.43305801,4.95350456,0.22139013,0.93096743,0.93195915,463.9
mobilevit_s,18,0.37773408,0.00526239,0.37247169,6.01227332,4.58705997,1.20522738,6.21736935,4.75821495,1.41849053,0.93874575,0.93935686,462.1
mobilevit_s,19,0.33705494,0.00477099,0.33228395,6.16190446,4.69621849,1.75855386,6.32080046,4.8785553,1.983325,0.93923189,0.93995263,463.6
mobilevit_s,20,0.36736089,0.0049526,0.36240829,5.63361614,4.24081993,-0.09601232,5.97350597,4.59018087,0.71628237,0.93680117,0.93752482,461.2
mobilevit_s,21,0.35958537,0.00555658,0.35402879,5.76701524,4.39708233,1.66592085,6.23848549,4.77244234,2.03522897,0.94846864,0.94922205,463.8
mobilevit_s,22,0.32926923,0.00472179,0.32454744,5.37495298,4.07668734,0.77806705,5.71327356,4.39440489,0.97494149,0.91929995,0.91928279,461.5
mobilevit_s,23,0.29801953,0.00470544,0.29331409,6.26086306,4.67528582,0.80523026,6.19106213,4.74702787,0.69438845,0.93048128,0.93045606,467.2
mobilevit_s,24,0.32832598,0.00496279,0.32336319,5.15892246,3.89564729,0.2860817,5.39854968,4.11133385,0.57453758,0.94846864,0.9487497,462.0
mobilevit_s,25,0.30462826,0.00496391,0.29966435,5.33879547,4.00725031,0.48211682,5.72840908,4.32847357,0.98419046,0.94457948,0.94464387,459.3
mobilevit_s,26,0.28960839,0.00460185,0.28500654,6.33648897,4.60838318,2.10271955,6.78727068,4.99822998,2.03389359,0.94652406,0.94669019,462.1
mobilevit_s,27,0.24964635,0.00399433,0.24565202,5.7674938,4.37992811,-0.45322257,5.74843178,4.43953085,-0.18202677,0.94944093,0.94970046,460.2
mobilevit_s,28,0.25030497,0.00444704,0.24585793,5.41381694,4.12598419,0.19128622,5.43017892,4.16163731,0.10637299,0.9479825,0.94816111,464.0
mobilevit_s,29,0.27432829,0.00453734,0.26979095,5.94063991,4.52561903,1.52891469,5.80522373,4.45102787,1.28299761,0.95478853,0.95489959,459.8
mobilevit_s,30,0.24702824,0.00453688,0.24249136,6.20472831,4.43674803,-0.18125474,6.27835274,4.51925802,-0.15110229,0.92610598,0.92623292,466.6
mobilevit_s,31,0.25944419,0.0047616,0.25468259,5.36225284,4.03693581,0.88394558,5.42253632,4.1406765,0.55978322,0.93923189,0.93959793,461.9
mobilevit_s,32,0.234693,0.00393931,0.23075369,5.35812016,4.02943659,0.50648069,5.30097861,4.00318718,0.18234727,0.91686923,0.9159125,462.2
mobilevit_s,33,0.22813705,0.0044696,0.22366745,5.33468931,4.08880997,0.9594596,5.46214829,4.19063139,0.91403574,0.94555177,0.94656033,461.1
mobilevit_s,34,0.22623432,0.00414488,0.22208944,5.39768736,4.10469484,1.77993441,5.35606099,4.07670069,1.37815857,0.93485659,0.9350076,461.4
mobilevit_s,35,0.21770655,0.00406934,0.21363721,5.61189796,4.28659916,1.49275541,5.40569642,4.07102728,1.32363081,0.94360719,0.94403142,463.4
