Model,Accuracy,Precision,Recall,F1-Score,SM_0_RMSE,SM_0_MAE,SM_0_MSE,SM_20_RMSE,SM_20_MAE,SM_20_MSE
SVM,0.8491,0.856,0.8491,0.8508,11.2833,8.7399,127.3125,11.2725,8.799,127.0684
Random Forest,0.8759,0.8831,0.8759,0.8783,7.3949,5.1164,54.6848,7.48,5.2947,55.951
GBM,0.8516,0.8595,0.8516,0.8541,8.3362,5.8515,69.4918,8.4193,5.9403,70.8851
Extra Trees,0.8443,0.8522,0.8443,0.8459,7.3214,5.1767,53.6029,7.2047,5.2579,51.908
AdaBoost,0.1849,0.0618,0.1849,0.0897,9.5849,7.3072,91.8694,9.8241,7.53,96.5132
HistGradientBoosting,0.8345,0.8463,0.8345,0.8378,13.1024,11.0883,171.6717,13.21,11.2066,174.503
